1970-01-01 00:54:23.664105 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 1, length 64
1970-01-01 00:54:23.664233 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 1, length 64
1970-01-01 00:54:24.666128 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 2, length 64
1970-01-01 00:54:24.666234 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 2, length 64
1970-01-01 00:54:25.668188 IP 192.168.1.106 > 192.168.1.126: ICMP echo request, id 3, seq 3, length 64
1970-01-01 00:54:25.668310 IP 192.168.1.126 > 192.168.1.106: ICMP echo reply, id 3, seq 3, length 64
1970-01-01 00:55:58.369101 IP 192.168.1.106.63685 > 192.168.1.126.22: Flags [S], seq 400577557, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.841373 IP 192.168.1.106.59571 > 192.168.1.126.19: Flags [S], seq 1406402259, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.856163 IP 192.168.1.106.59572 > 192.168.1.126.21: Flags [S], seq 1424227481, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.856503 IP 192.168.1.106.59573 > 192.168.1.126.23: Flags [S], seq 3434934829, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.856508 IP 192.168.1.106.59574 > 192.168.1.126.22: Flags [S], seq 2307969272, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857502 IP 192.168.1.106.59575 > 192.168.1.126.24: Flags [S], seq 1224581590, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857507 IP 192.168.1.106.59577 > 192.168.1.126.26: Flags [S], seq 3653252237, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857512 IP 192.168.1.106.59579 > 192.168.1.126.29: Flags [S], seq 4207362319, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857516 IP 192.168.1.106.59580 > 192.168.1.126.30: Flags [S], seq 1685957799, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857520 IP 192.168.1.106.59576 > 192.168.1.126.27: Flags [S], seq 2431346802, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857524 IP 192.168.1.106.59578 > 192.168.1.126.25: Flags [S], seq 90546572, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:09.857528 IP 192.168.1.106.59581 > 192.168.1.126.28: Flags [S], seq 552331728, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331239 IP 192.168.1.106.59555 > 192.168.1.126.4: Flags [S], seq 1713618039, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331245 IP 192.168.1.106.59559 > 192.168.1.126.6: Flags [S], seq 2147149574, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331250 IP 192.168.1.106.59554 > 192.168.1.126.7: Flags [S], seq 3918669855, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331254 IP 192.168.1.106.59553 > 192.168.1.126.3: Flags [S], seq 961744004, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331258 IP 192.168.1.106.59552 > 192.168.1.126.5: Flags [S], seq 4059970330, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331535 IP 192.168.1.106.59556 > 192.168.1.126.2: Flags [S], seq 3939572420, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331541 IP 192.168.1.106.59560 > 192.168.1.126.9: Flags [S], seq 3501765765, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331546 IP 192.168.1.106.59557 > 192.168.1.126.1: Flags [S], seq 1355627308, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.331551 IP 192.168.1.106.59558 > 192.168.1.126.8: Flags [S], seq 31805178, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346925 IP 192.168.1.106.59566 > 192.168.1.126.17: Flags [S], seq 1764656280, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346930 IP 192.168.1.106.59561 > 192.168.1.126.12: Flags [S], seq 1145353517, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346934 IP 192.168.1.106.59564 > 192.168.1.126.15: Flags [S], seq 3599299380, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346939 IP 192.168.1.106.59563 > 192.168.1.126.13: Flags [S], seq 1959316283, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346943 IP 192.168.1.106.59570 > 192.168.1.126.20: Flags [S], seq 42462176, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346948 IP 192.168.1.106.59562 > 192.168.1.126.14: Flags [S], seq 2995218424, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346953 IP 192.168.1.106.59565 > 192.168.1.126.16: Flags [S], seq 1302500654, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.346957 IP 192.168.1.106.59568 > 192.168.1.126.11: Flags [S], seq 3778867981, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.347215 IP 192.168.1.106.59571 > 192.168.1.126.19: Flags [S], seq 1406402259, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.347220 IP 192.168.1.106.59567 > 192.168.1.126.10: Flags [S], seq 3950256326, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.347225 IP 192.168.1.106.59569 > 192.168.1.126.18: Flags [S], seq 3531005044, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362532 IP 192.168.1.106.59573 > 192.168.1.126.23: Flags [S], seq 3434934829, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362538 IP 192.168.1.106.59576 > 192.168.1.126.27: Flags [S], seq 2431346802, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362542 IP 192.168.1.106.59575 > 192.168.1.126.24: Flags [S], seq 1224581590, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362546 IP 192.168.1.106.59578 > 192.168.1.126.25: Flags [S], seq 90546572, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362551 IP 192.168.1.106.59572 > 192.168.1.126.21: Flags [S], seq 1424227481, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362556 IP 192.168.1.106.59580 > 192.168.1.126.30: Flags [S], seq 1685957799, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362560 IP 192.168.1.106.59574 > 192.168.1.126.22: Flags [S], seq 2307969272, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.362564 IP 192.168.1.106.59579 > 192.168.1.126.29: Flags [S], seq 4207362319, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.363008 IP 192.168.1.106.59577 > 192.168.1.126.26: Flags [S], seq 3653252237, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.363014 IP 192.168.1.106.59581 > 192.168.1.126.28: Flags [S], seq 552331728, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846646 IP 192.168.1.106.59553 > 192.168.1.126.3: Flags [S], seq 961744004, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846651 IP 192.168.1.106.59559 > 192.168.1.126.6: Flags [S], seq 2147149574, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846653 IP 192.168.1.106.59555 > 192.168.1.126.4: Flags [S], seq 1713618039, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846886 IP 192.168.1.106.59557 > 192.168.1.126.1: Flags [S], seq 1355627308, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846889 IP 192.168.1.106.59560 > 192.168.1.126.9: Flags [S], seq 3501765765, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846891 IP 192.168.1.106.59554 > 192.168.1.126.7: Flags [S], seq 3918669855, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846894 IP 192.168.1.106.59556 > 192.168.1.126.2: Flags [S], seq 3939572420, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.846896 IP 192.168.1.106.59558 > 192.168.1.126.8: Flags [S], seq 31805178, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863664 IP 192.168.1.106.59564 > 192.168.1.126.15: Flags [S], seq 3599299380, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863669 IP 192.168.1.106.59566 > 192.168.1.126.17: Flags [S], seq 1764656280, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863673 IP 192.168.1.106.59570 > 192.168.1.126.20: Flags [S], seq 42462176, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863678 IP 192.168.1.106.59568 > 192.168.1.126.11: Flags [S], seq 3778867981, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863682 IP 192.168.1.106.59563 > 192.168.1.126.13: Flags [S], seq 1959316283, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863686 IP 192.168.1.106.59571 > 192.168.1.126.19: Flags [S], seq 1406402259, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863690 IP 192.168.1.106.59567 > 192.168.1.126.10: Flags [S], seq 3950256326, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863695 IP 192.168.1.106.59561 > 192.168.1.126.12: Flags [S], seq 1145353517, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863948 IP 192.168.1.106.59562 > 192.168.1.126.14: Flags [S], seq 2995218424, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863952 IP 192.168.1.106.59569 > 192.168.1.126.18: Flags [S], seq 3531005044, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.863957 IP 192.168.1.106.59565 > 192.168.1.126.16: Flags [S], seq 1302500654, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877292 IP 192.168.1.106.59573 > 192.168.1.126.23: Flags [S], seq 3434934829, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877916 IP 192.168.1.106.59580 > 192.168.1.126.30: Flags [S], seq 1685957799, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877921 IP 192.168.1.106.59575 > 192.168.1.126.24: Flags [S], seq 1224581590, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877925 IP 192.168.1.106.59578 > 192.168.1.126.25: Flags [S], seq 90546572, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877931 IP 192.168.1.106.59572 > 192.168.1.126.21: Flags [S], seq 1424227481, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877936 IP 192.168.1.106.59576 > 192.168.1.126.27: Flags [S], seq 2431346802, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877940 IP 192.168.1.106.59574 > 192.168.1.126.22: Flags [S], seq 2307969272, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877944 IP 192.168.1.106.59579 > 192.168.1.126.29: Flags [S], seq 4207362319, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.877948 IP 192.168.1.106.59577 > 192.168.1.126.26: Flags [S], seq 3653252237, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:10.878185 IP 192.168.1.106.59581 > 192.168.1.126.28: Flags [S], seq 552331728, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360592 IP 192.168.1.106.59555 > 192.168.1.126.4: Flags [S], seq 1713618039, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360598 IP 192.168.1.106.59559 > 192.168.1.126.6: Flags [S], seq 2147149574, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360602 IP 192.168.1.106.59557 > 192.168.1.126.1: Flags [S], seq 1355627308, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360607 IP 192.168.1.106.59554 > 192.168.1.126.7: Flags [S], seq 3918669855, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360612 IP 192.168.1.106.59556 > 192.168.1.126.2: Flags [S], seq 3939572420, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360616 IP 192.168.1.106.59560 > 192.168.1.126.9: Flags [S], seq 3501765765, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360871 IP 192.168.1.106.59553 > 192.168.1.126.3: Flags [S], seq 961744004, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.360876 IP 192.168.1.106.59558 > 192.168.1.126.8: Flags [S], seq 31805178, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376178 IP 192.168.1.106.59571 > 192.168.1.126.19: Flags [S], seq 1406402259, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376184 IP 192.168.1.106.59570 > 192.168.1.126.20: Flags [S], seq 42462176, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376188 IP 192.168.1.106.59566 > 192.168.1.126.17: Flags [S], seq 1764656280, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376192 IP 192.168.1.106.59567 > 192.168.1.126.10: Flags [S], seq 3950256326, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376198 IP 192.168.1.106.59563 > 192.168.1.126.13: Flags [S], seq 1959316283, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376202 IP 192.168.1.106.59569 > 192.168.1.126.18: Flags [S], seq 3531005044, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376489 IP 192.168.1.106.59568 > 192.168.1.126.11: Flags [S], seq 3778867981, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376494 IP 192.168.1.106.59564 > 192.168.1.126.15: Flags [S], seq 3599299380, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376498 IP 192.168.1.106.59561 > 192.168.1.126.12: Flags [S], seq 1145353517, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376502 IP 192.168.1.106.59562 > 192.168.1.126.14: Flags [S], seq 2995218424, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.376506 IP 192.168.1.106.59565 > 192.168.1.126.16: Flags [S], seq 1302500654, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392394 IP 192.168.1.106.59572 > 192.168.1.126.21: Flags [S], seq 1424227481, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392413 IP 192.168.1.106.59576 > 192.168.1.126.27: Flags [S], seq 2431346802, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392417 IP 192.168.1.106.59575 > 192.168.1.126.24: Flags [S], seq 1224581590, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392421 IP 192.168.1.106.59574 > 192.168.1.126.22: Flags [S], seq 2307969272, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392426 IP 192.168.1.106.59573 > 192.168.1.126.23: Flags [S], seq 3434934829, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392430 IP 192.168.1.106.59580 > 192.168.1.126.30: Flags [S], seq 1685957799, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392434 IP 192.168.1.106.59579 > 192.168.1.126.29: Flags [S], seq 4207362319, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392438 IP 192.168.1.106.59577 > 192.168.1.126.26: Flags [S], seq 3653252237, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392677 IP 192.168.1.106.59581 > 192.168.1.126.28: Flags [S], seq 552331728, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.392738 IP 192.168.1.106.59578 > 192.168.1.126.25: Flags [S], seq 90546572, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877458 IP 192.168.1.106.59554 > 192.168.1.126.7: Flags [S], seq 3918669855, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877466 IP 192.168.1.106.59560 > 192.168.1.126.9: Flags [S], seq 3501765765, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877471 IP 192.168.1.106.59555 > 192.168.1.126.4: Flags [S], seq 1713618039, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877475 IP 192.168.1.106.59559 > 192.168.1.126.6: Flags [S], seq 2147149574, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877479 IP 192.168.1.106.59553 > 192.168.1.126.3: Flags [S], seq 961744004, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877483 IP 192.168.1.106.59557 > 192.168.1.126.1: Flags [S], seq 1355627308, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877488 IP 192.168.1.106.59556 > 192.168.1.126.2: Flags [S], seq 3939572420, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.877492 IP 192.168.1.106.59558 > 192.168.1.126.8: Flags [S], seq 31805178, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.892817 IP 192.168.1.106.59563 > 192.168.1.126.13: Flags [S], seq 1959316283, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893888 IP 192.168.1.106.59564 > 192.168.1.126.15: Flags [S], seq 3599299380, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893893 IP 192.168.1.106.59568 > 192.168.1.126.11: Flags [S], seq 3778867981, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893897 IP 192.168.1.106.59570 > 192.168.1.126.20: Flags [S], seq 42462176, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893902 IP 192.168.1.106.59561 > 192.168.1.126.12: Flags [S], seq 1145353517, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893906 IP 192.168.1.106.59566 > 192.168.1.126.17: Flags [S], seq 1764656280, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893910 IP 192.168.1.106.59571 > 192.168.1.126.19: Flags [S], seq 1406402259, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893915 IP 192.168.1.106.59567 > 192.168.1.126.10: Flags [S], seq 3950256326, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.893919 IP 192.168.1.106.59562 > 192.168.1.126.14: Flags [S], seq 2995218424, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.894225 IP 192.168.1.106.59565 > 192.168.1.126.16: Flags [S], seq 1302500654, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
1970-01-01 00:57:11.894231 IP 192.168.1.106.59569 > 192.168.1.126.18: Flags [S], seq 3531005044, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
